"date","pdsi","coord","day","month","year"
1986-08-18,-1.55,"Bovill",18,8,1986
1986-08-23,-1.6,"Bovill",23,8,1986
1986-08-28,-1.64,"Bovill",28,8,1986
1986-09-02,-1.61,"Bovill",2,9,1986
1986-09-07,-1.59,"Bovill",7,9,1986
1986-09-12,-1.55,"Bovill",12,9,1986
1986-09-17,-1.48,"Bovill",17,9,1986
1986-09-22,-1.35,"Bovill",22,9,1986
1986-09-27,-1.12,"Bovill",27,9,1986
1986-10-02,-0.890000000000001,"Bovill",2,10,1986
1986-10-07,-0.67,"Bovill",7,10,1986
1986-10-12,0.17,"Bovill",12,10,1986
1986-10-17,1.02,"Bovill",17,10,1986
1986-10-22,1.03,"Bovill",22,10,1986
1986-10-27,0.970000000000001,"Bovill",27,10,1986
1986-11-01,0.870000000000001,"Bovill",1,11,1986
1986-11-06,0.790000000000001,"Bovill",6,11,1986
1986-11-11,0.74,"Bovill",11,11,1986
1986-11-16,0.700000000000001,"Bovill",16,11,1986
1986-11-21,0.700000000000001,"Bovill",21,11,1986
1986-11-26,0.73,"Bovill",26,11,1986
1986-12-01,0.75,"Bovill",1,12,1986
1986-12-06,0.790000000000001,"Bovill",6,12,1986
1986-12-11,0.790000000000001,"Bovill",11,12,1986
1986-12-16,0.76,"Bovill",16,12,1986
1986-12-21,0.710000000000001,"Bovill",21,12,1986
1986-12-26,0.620000000000001,"Bovill",26,12,1986
1986-12-31,-0.0999999999999996,"Bovill",31,12,1986
1987-01-05,-0.119999999999999,"Bovill",5,1,1987
1987-01-10,-0.51,"Bovill",10,1,1987
1987-01-15,-0.629999999999999,"Bovill",15,1,1987
1987-01-20,-0.75,"Bovill",20,1,1987
1987-01-25,-0.890000000000001,"Bovill",25,1,1987
1987-01-30,-1.02,"Bovill",30,1,1987
1987-02-04,-1.09,"Bovill",4,2,1987
1987-02-09,-1.11,"Bovill",9,2,1987
1987-02-14,-1.13,"Bovill",14,2,1987
1987-02-19,-1.11,"Bovill",19,2,1987
1987-02-24,-1.1,"Bovill",24,2,1987
1987-03-01,-1.07,"Bovill",1,3,1987
1987-03-06,-1.05,"Bovill",6,3,1987
1987-03-11,-1.02,"Bovill",11,3,1987
1987-03-16,-0.949999999999999,"Bovill",16,3,1987
1987-03-21,-0.879999999999999,"Bovill",21,3,1987
1987-03-26,-0.81,"Bovill",26,3,1987
1987-03-31,-0.81,"Bovill",31,3,1987
1987-04-05,-0.9,"Bovill",5,4,1987
1987-04-10,-0.969999999999999,"Bovill",10,4,1987
1987-04-15,-1.09,"Bovill",15,4,1987
1987-04-20,-1.22,"Bovill",20,4,1987
1987-04-25,-1.37,"Bovill",25,4,1987
1987-04-30,-1.48,"Bovill",30,4,1987
1987-05-05,-1.56,"Bovill",5,5,1987
1987-05-10,-1.66,"Bovill",10,5,1987
1987-05-15,-1.75,"Bovill",15,5,1987
1987-05-20,-1.86,"Bovill",20,5,1987
1987-05-25,-1.94,"Bovill",25,5,1987
1987-05-30,-1.99,"Bovill",30,5,1987
1987-06-04,-2.03,"Bovill",4,6,1987
1987-06-09,-2.07,"Bovill",9,6,1987
1987-06-14,-2.14,"Bovill",14,6,1987
1987-06-19,-2.17,"Bovill",19,6,1987
1987-06-24,-2.19,"Bovill",24,6,1987
1987-06-29,-2.26,"Bovill",29,6,1987
1987-07-04,-2.33,"Bovill",4,7,1987
1987-07-09,-2.35,"Bovill",9,7,1987
1987-07-14,-2.34,"Bovill",14,7,1987
1987-07-19,-2.3,"Bovill",19,7,1987
1987-07-24,-2.19,"Bovill",24,7,1987
1987-07-29,-2.06,"Bovill",29,7,1987
1987-08-03,-1.92,"Bovill",3,8,1987
1987-08-08,-1.78,"Bovill",8,8,1987
1987-08-13,-1.67,"Bovill",13,8,1987
1987-08-18,-1.57,"Bovill",18,8,1987
1987-08-23,-1.54,"Bovill",23,8,1987
1987-08-28,-1.51,"Bovill",28,8,1987
1987-09-02,-1.49,"Bovill",2,9,1987
1987-09-07,-1.49,"Bovill",7,9,1987
